Ref,Val,Package,PosX,PosY,Rot,Side
C3,1uF,C_0402,41.07742,51.5923,180,top
C4,4.7uF,C_0603,23.57808,36.9584,270,top
C6,4.7uF,C_0603,25.5898,34.8488,0,top
C7,4.7uF,C_0603,21.47,43.5084,270,top
C8,4.7uF,C_0603,23.9776,48.9712,270,top
C22,0.1uF,C_0402,6.55692,49.03216,0,top
C24,0.1uF,C_0402,15.75,28.75,270,top
C44,4.7uF,C_0603,13.7414,43.561,270,top
D1,MBR0520LT1G,D_SOD-123,12.0152,46.228,180,top
D4,ESD5V3U2U,SOT-723,6.57352,43.93692,270,top
DS2,CLVBA_RGB_LED,CLVBA,82.426912,27.703684,0,top
L1,BLM18PG600,L_0603_1608Metric,6.9342,41.0972,0,top
L3,BLM18PG600,L_0603_1608Metric,6.58876,46.79188,180,top
Q2,MMBT2222,SOT-23,54.9115,4.064,180,top
Q3,MMBT2222,SOT-23,43.815,5.715,180,top
Q4,MMBT2222,SOT-23,74.95,26.825,90,top
Q5,MMBT2222,SOT-23,89.15,31.975,270,top
Q6,MMBT2222,SOT-23,81.675,21.15,90,top
Q8,MMBT2222,SOT-23,29.2448,43.1444,0,top
R1,4.7K,R_0402,26.387772,44.607352,90,top
R2,100K,R_0402,41.07742,50.4493,0,top
R3,390K (1%),R_0402,41.07742,52.7353,180,top
R6,4.7K,R_0402,25.5778,42.2402,0,top
R14,4.7K,R_0402,9.144,48.1838,0,top
R15,10K,R_0402,9.1186,49.403,180,top
R17,10K,R_0402,15.75,26.75,270,top
R27,10K,R_0402_1005Metric,54.229,8.7225,90,top
R28,10K,R_0402_1005Metric,44.346,3.302,180,top
R29,10K,R_0402_1005Metric,55.372,8.7225,270,top
R30,100K,R_0402,75.85,24.125,90,top
R31,10K,R_0402,74.05,24.125,270,top
R32,100K,R_0402,92.075,34.875,90,top
R33,10K,R_0402,92.1258,32.8422,90,top
R34,100K,R_0402,78.9,18.925,0,top
R35,10K,R_0402,78.9,20.175,180,top
R36,124,R_0805,75.565,30.099,180,top
R37,124,R_0805,88.925,29.325,0,top
R38,124,R_0805,85.217,22.606,270,top
R40,10K,R_0402_1005Metric,44.3635,1.7145,0,top
R42,10K,R_0402,29.79048,46.5598,0,top
R43,10K,R_0402,28.2542,45.98872,90,top
R44,49.9,R_1206,35.56,47.9806,0,top
R46,100K,R_0402,14.67,26.75,270,top
U2,TCR2EE/EF,SOT-553,25.3622,36.79892,270,top
U5,MCP73831-2AC,SOT-23-5,23.944292,45.364272,270,top
